Date,Open,High,Low,Close,Volume
19-Jul-13,442.86,451.02,437.37,447.85,-
18-Jul-13,459.04,459.54,451.14,454.88,-
17-Jul-13,460.04,462.97,457.69,458.82,-
16-Jul-13,463.10,463.52,456.49,459.34,-
15-Jul-13,461.69,463.54,457.72,461.88,-
12-Jul-13,459.54,461.04,457.16,461.04,-
11-Jul-13,456.04,459.94,453.81,459.66,-
10-Jul-13,451.27,455.11,449.74,452.54,-
9-Jul-13,455.04,456.02,448.54,452.17,-
8-Jul-13,449.16,452.68,448.09,452.09,-
5-Jul-13,444.56,447.26,443.23,446.30,-
3-Jul-13,439.51,444.14,438.81,442.77,-
2-Jul-13,444.65,445.05,438.20,440.71,-
1-Jul-13,442.78,445.59,442.06,443.50,-
28-Jun-13,437.01,440.48,436.66,439.74,-
27-Jun-13,438.96,441.90,437.89,438.10,-
26-Jun-13,436.44,438.56,434.85,436.39,-
25-Jun-13,438.19,439.40,431.82,432.67,-
24-Jun-13,435.50,437.72,431.19,434.46,-
21-Jun-13,443.73,444.50,436.10,440.02,-
20-Jun-13,446.55,450.05,441.21,441.93,-
19-Jun-13,450.23,454.96,448.30,449.89,-
18-Jun-13,443.88,450.05,443.73,449.86,-
17-Jun-13,439.18,444.27,438.70,442.68,-
14-Jun-13,439.61,441.91,436.63,437.08,-
13-Jun-13,434.06,439.39,432.32,438.06,-
12-Jun-13,442.29,442.56,434.39,435.55,-
11-Jun-13,441.54,443.06,439.32,439.47,-
10-Jun-13,440.61,445.05,439.60,444.66,-
7-Jun-13,434.77,439.56,432.23,439.43,-
6-Jun-13,431.72,432.73,423.19,431.89,-
5-Jun-13,430.82,434.29,428.14,429.42,-
4-Jun-13,433.49,434.86,426.61,429.12,-
3-Jun-13,431.34,436.55,427.08,433.38,-
31-May-13,433.63,438.06,433.33,435.17,-
30-May-13,434.53,439.01,432.77,434.94,-
29-May-13,437.42,438.56,431.71,433.72,-
28-May-13,441.31,445.62,439.76,440.19,-
24-May-13,437.19,438.97,435.07,436.22,-
23-May-13,438.06,444.54,436.56,440.95,-
22-May-13,450.83,454.20,443.00,444.27,-
21-May-13,453.56,455.37,448.36,453.03,-
20-May-13,452.05,459.84,452.05,453.81,-
17-May-13,454.56,456.29,449.81,454.14,-
16-May-13,459.04,459.53,450.55,451.48,-
15-May-13,447.30,457.73,446.56,457.49,-
14-May-13,438.31,443.90,438.13,443.11,-
13-May-13,439.01,440.79,436.25,438.33,-
10-May-13,437.22,439.83,435.64,439.67,-
9-May-13,434.98,439.39,433.68,435.30,-
8-May-13,428.07,436.50,426.03,436.38,-
7-May-13,431.07,431.50,424.91,428.19,-
6-May-13,423.71,430.49,423.71,430.34,-
3-May-13,418.06,422.98,417.58,422.44,-
2-May-13,409.64,416.86,409.12,414.39,-
1-May-13,411.22,411.95,407.77,409.80,-
30-Apr-13,409.09,413.41,408.43,411.87,-
29-Apr-13,401.22,410.94,401.10,409.12,-
26-Apr-13,403.40,403.47,397.89,400.31,-
25-Apr-13,407.72,407.83,403.41,404.15,-
24-Apr-13,403.65,408.59,403.60,406.32,-
23-Apr-13,400.10,407.34,399.78,403.55,-
22-Apr-13,399.90,401.58,387.11,399.66,-
19-Apr-13,384.20,401.32,382.75,399.54,-
18-Apr-13,392.28,392.51,380.25,382.57,-
17-Apr-13,392.98,395.03,388.66,390.89,-
16-Apr-13,392.90,397.60,391.57,396.29,-
15-Apr-13,392.58,398.10,388.12,390.57,-
12-Apr-13,395.60,395.66,391.07,394.63,-
11-Apr-13,396.04,396.15,391.64,394.80,-
10-Apr-13,391.07,395.78,387.61,394.69,-
9-Apr-13,387.36,391.48,386.17,388.44,-
8-Apr-13,388.99,389.39,383.82,387.04,-
5-Apr-13,392.64,393.10,387.81,391.13,-
4-Apr-13,401.72,402.47,395.25,397.14,-
3-Apr-13,406.32,406.69,399.93,402.70,-
2-Apr-13,401.87,407.01,401.60,406.11,-
1-Apr-13,397.11,400.72,396.23,400.19,-
28-Mar-13,401.59,402.28,396.25,396.70,-
27-Mar-13,402.94,403.10,400.26,400.93,-
26-Mar-13,406.34,406.59,403.49,405.80,-
25-Mar-13,405.80,409.21,403.01,404.42,-
22-Mar-13,406.96,407.21,404.42,404.75,-
21-Mar-13,405.24,408.05,404.52,405.22,-
20-Mar-13,408.01,408.35,405.31,406.95,-
19-Mar-13,405.21,409.22,402.82,405.25,-
18-Mar-13,402.10,405.97,400.33,403.49,-
15-Mar-13,408.84,409.74,406.26,406.74,-
14-Mar-13,413.08,413.08,408.29,410.36,-
13-Mar-13,413.54,414.93,410.74,412.24,-
12-Mar-13,414.94,415.53,411.42,413.39,-
11-Mar-13,415.43,419.43,415.33,416.99,-
8-Mar-13,416.83,417.04,412.11,415.34,-
7-Mar-13,416.61,417.89,414.38,415.88,-
6-Mar-13,420.09,421.58,413.99,415.27,-
5-Mar-13,414.05,419.65,414.04,418.88,-
4-Mar-13,402.25,411.01,402.10,410.34,-
1-Mar-13,398.50,403.17,397.68,402.69,-
28-Feb-13,400.15,403.09,400.11,400.20,-
27-Feb-13,397.00,401.97,395.16,399.49,-
26-Feb-13,397.10,397.58,391.81,394.67,-
25-Feb-13,400.75,403.80,394.85,394.99,-
22-Feb-13,399.23,400.22,396.50,399.46,-
21-Feb-13,398.60,402.32,395.21,397.37,-
20-Feb-13,402.25,404.08,395.50,395.83,-
19-Feb-13,397.60,403.10,397.24,403.02,-
15-Feb-13,393.31,396.23,393.14,396.05,-
14-Feb-13,389.48,393.98,388.50,393.52,-
13-Feb-13,389.67,392.28,389.60,391.04,-
12-Feb-13,390.48,393.56,389.30,389.96,-
11-Feb-13,388.81,391.11,386.49,390.82,-
8-Feb-13,389.67,392.94,389.39,392.29,-
7-Feb-13,384.47,389.02,382.37,386.59,-
6-Feb-13,379.16,386.09,378.87,384.70,-
5-Feb-13,380.18,385.17,379.35,382.49,-
4-Feb-13,383.46,384.85,378.76,379.13,-
1-Feb-13,378.70,387.90,378.70,387.40,-
31-Jan-13,374.88,378.43,374.75,377.47,-
30-Jan-13,376.49,380.09,376.08,376.54,-
29-Jan-13,373.00,378.10,372.90,376.46,-
28-Jan-13,375.50,377.42,373.57,374.99,-
25-Jan-13,375.01,378.86,374.75,376.46,-
24-Jan-13,370.25,378.04,369.88,376.54,-
23-Jan-13,367.63,374.13,367.53,370.38,-
22-Jan-13,351.98,352.32,347.41,351.08,-
18-Jan-13,354.82,356.03,350.31,351.90,-
17-Jan-13,358.50,359.46,355.15,355.30,-
16-Jan-13,360.84,361.81,356.48,357.24,-
15-Jan-13,359.31,367.13,355.69,362.10,-
14-Jan-13,368.13,370.73,360.81,361.26,-
11-Jan-13,370.63,370.84,367.78,369.62,-
10-Jan-13,371.04,372.13,366.38,370.37,-
9-Jan-13,365.77,368.81,363.94,368.69,-
8-Jan-13,367.40,367.78,361.85,366.28,-
7-Jan-13,367.36,369.32,364.92,367.01,-
4-Jan-13,364.31,370.36,363.48,368.62,-
3-Jan-13,362.10,365.60,360.00,361.47,-
2-Jan-13,359.35,363.14,357.92,361.26,-
31-Dec-12,349.65,354.93,347.65,353.34,-
28-Dec-12,350.49,353.10,349.65,349.65,-
27-Dec-12,353.22,354.07,348.96,352.79,-
26-Dec-12,353.68,356.08,350.85,354.08,-
24-Dec-12,356.90,357.23,353.38,354.40,-
21-Dec-12,356.63,359.05,354.90,357.46,-
20-Dec-12,361.27,361.96,358.13,360.82,-
19-Dec-12,359.99,361.14,357.98,359.69,-
18-Dec-12,357.94,364.19,357.17,360.17,-
17-Dec-12,352.40,368.77,351.66,360.03,-
14-Dec-12,349.24,353.56,348.87,350.63,-
13-Dec-12,357.60,357.88,349.42,351.00,-
12-Dec-12,349.27,351.40,346.39,348.43,-
11-Dec-12,344.66,350.61,343.52,348.09,-
10-Dec-12,342.35,345.48,341.55,342.37,-
7-Dec-12,347.15,348.09,340.87,341.76,-
6-Dec-12,343.45,347.46,341.91,345.22,-
5-Dec-12,345.73,346.90,340.82,343.57,-
4-Dec-12,347.15,347.41,342.51,345.17,-
3-Dec-12,350.77,352.59,346.71,347.28,-
30-Nov-12,345.31,349.26,342.50,348.84,-
29-Nov-12,343.55,346.60,340.66,345.60,-
28-Nov-12,333.67,342.11,331.61,341.49,-
27-Nov-12,329.75,337.16,328.67,335.02,-
26-Nov-12,332.89,333.17,329.18,330.24,-
23-Nov-12,334.65,334.66,332.72,333.65,-
21-Nov-12,334.16,334.57,329.87,332.60,-
20-Nov-12,334.42,338.66,331.95,334.65,-
19-Nov-12,327.52,334.13,327.44,333.77,-
16-Nov-12,322.67,326.18,317.68,323.27,-
15-Nov-12,324.68,329.67,321.63,323.31,-
14-Nov-12,330.00,330.76,324.92,325.95,-
13-Nov-12,331.17,333.47,328.79,329.20,-
12-Nov-12,331.54,334.57,330.10,332.62,-
9-Nov-12,327.00,333.84,324.82,331.18,-
8-Nov-12,334.76,335.41,325.29,325.82,-
7-Nov-12,337.16,338.78,332.91,333.23,-
6-Nov-12,342.40,342.91,338.44,340.52,-
5-Nov-12,341.91,343.09,337.44,341.14,-
2-Nov-12,347.05,347.43,343.34,343.62,-
1-Nov-12,339.41,345.10,339.02,343.45,-
31-Oct-12,339.59,340.16,337.16,339.81,-
26-Oct-12,337.91,341.17,335.26,337.24,-
25-Oct-12,339.66,340.66,336.42,338.54,-
24-Oct-12,343.06,343.16,337.30,338.31,-
23-Oct-12,335.67,343.32,335.66,339.83,-
22-Oct-12,340.16,341.97,334.52,339.00,-
19-Oct-12,352.44,353.00,335.66,340.55,-
18-Oct-12,377.39,379.33,337.66,347.15,-
17-Oct-12,371.60,377.79,369.76,377.37,-
16-Oct-12,369.69,373.12,367.86,371.98,-
15-Oct-12,370.60,371.54,364.98,370.12,-
12-Oct-12,375.55,377.06,371.68,372.00,-
11-Oct-12,376.07,378.87,374.77,375.36,-
10-Oct-12,370.56,373.39,368.78,371.91,-
9-Oct-12,379.46,380.28,370.89,371.67,-
8-Oct-12,380.12,381.41,376.70,378.54,-
5-Oct-12,384.97,386.80,382.12,383.44,-
4-Oct-12,380.99,384.56,379.32,383.64,-
3-Oct-12,377.48,381.58,375.72,380.87,-
2-Oct-12,382.22,382.61,374.76,378.12,-
1-Oct-12,379.15,382.12,377.73,380.51,-
28-Sep-12,376.70,379.27,375.20,376.87,-
27-Sep-12,379.60,381.04,375.45,377.87,-
26-Sep-12,374.55,380.24,370.13,376.35,-
25-Sep-12,376.15,382.06,373.46,374.21,-
24-Sep-12,365.13,374.64,364.76,374.32,-
21-Sep-12,365.74,367.09,364.69,366.63,-
20-Sep-12,361.87,365.32,360.25,363.69,-
19-Sep-12,358.39,363.92,357.85,363.39,-
18-Sep-12,353.54,358.97,353.04,358.78,-
17-Sep-12,353.70,356.08,352.15,354.64,-
14-Sep-12,354.45,356.14,353.15,354.49,-
13-Sep-12,346.20,354.15,344.92,352.67,-
12-Sep-12,344.36,347.11,340.10,345.10,-
11-Sep-12,348.63,349.97,345.15,345.75,-
10-Sep-12,354.53,356.05,348.85,350.03,-
7-Sep-12,349.65,355.77,348.49,352.72,-
6-Sep-12,342.64,349.60,342.02,349.35,-
5-Sep-12,339.66,342.91,339.23,340.02,-
4-Sep-12,341.93,342.16,336.41,340.18,-
31-Aug-12,341.66,343.95,339.68,342.20,-
30-Aug-12,341.78,343.35,339.75,340.50,-
29-Aug-12,338.35,344.15,337.74,343.66,-
28-Aug-12,332.17,338.47,332.04,338.29,-
27-Aug-12,331.16,335.66,329.29,334.28,-
24-Aug-12,337.46,339.88,336.70,338.98,-
23-Aug-12,336.80,339.90,335.16,338.06,-
22-Aug-12,333.36,339.96,333.02,338.25,-
21-Aug-12,336.22,338.66,330.75,334.42,-
20-Aug-12,337.41,339.10,335.99,337.43,-
17-Aug-12,336.72,338.29,335.51,338.23,-
16-Aug-12,333.42,336.98,333.21,336.10,-
15-Aug-12,334.80,336.79,331.72,333.44,-
14-Aug-12,329.30,336.09,329.17,334.00,-
13-Aug-12,323.39,329.74,323.02,329.67,-
10-Aug-12,318.98,320.80,317.75,320.68,-
9-Aug-12,321.93,322.86,320.44,320.85,-
8-Aug-12,319.21,322.61,318.93,320.79,-
7-Aug-12,320.57,321.81,317.92,319.95,-
6-Aug-12,319.49,324.37,319.29,321.09,-
3-Aug-12,319.68,321.54,317.75,320.34,-
2-Aug-12,312.44,318.70,311.39,314.06,-
1-Aug-12,318.33,319.43,315.37,316.02,-
31-Jul-12,313.82,317.93,313.80,316.17,-
30-Jul-12,317.71,320.98,314.44,315.83,-
27-Jul-12,309.14,317.18,308.44,317.16,-
26-Jul-12,307.19,308.13,304.71,306.37,-
25-Jul-12,303.86,306.38,302.38,303.69,-
24-Jul-12,307.19,308.66,301.87,303.48,-
23-Jul-12,299.94,308.87,298.83,307.45,-
20-Jul-12,304.08,306.16,298.79,305.10,-
19-Jul-12,292.78,298.94,292.71,296.23,-
18-Jul-12,288.20,291.55,287.78,290.09,-
17-Jul-12,288.93,290.04,283.92,288.08,-
16-Jul-12,287.90,289.31,285.60,287.17,-
13-Jul-12,285.79,289.28,283.99,287.97,-
12-Jul-12,283.28,285.68,280.76,284.95,-
11-Jul-12,287.86,288.64,282.19,285.31,-
10-Jul-12,294.80,295.92,289.08,290.56,-
9-Jul-12,292.18,294.01,290.33,292.71,-
6-Jul-12,295.93,296.46,291.12,292.70,-
5-Jul-12,294.09,299.73,293.98,297.66,-
3-Jul-12,289.71,293.91,288.71,293.62,-
2-Jul-12,290.62,291.21,287.96,289.94,-
29-Jun-12,287.19,289.77,285.81,289.74,-
28-Jun-12,282.67,282.83,278.33,281.87,-
27-Jun-12,283.57,286.71,282.73,284.36,-
26-Jun-12,281.10,283.02,279.46,282.06,-
25-Jun-12,283.38,283.76,278.40,280.07,-
22-Jun-12,283.72,285.45,282.63,285.45,-
21-Jun-12,289.63,289.63,281.58,282.32,-
20-Jun-12,289.62,289.71,286.47,288.47,-
19-Jun-12,286.51,291.85,286.27,290.47,-
18-Jun-12,281.03,286.82,279.35,285.14,-
15-Jun-12,279.89,281.98,278.27,281.97,-
14-Jun-12,280.37,282.25,277.98,279.25,-
13-Jun-12,280.58,283.22,279.06,280.26,-
12-Jun-12,284.60,284.86,279.01,282.27,-
11-Jun-12,291.81,292.37,283.06,283.97,-
8-Jun-12,287.64,290.21,287.00,289.93,-
7-Jun-12,293.51,293.65,288.34,288.83,-
6-Jun-12,287.95,290.69,286.52,289.99,-
5-Jun-12,287.44,288.78,282.95,284.92,-
4-Jun-12,284.82,289.95,284.72,289.01,-
1-Jun-12,285.61,286.04,283.89,285.20,-
31-May-12,294.07,294.70,289.21,290.14,-
30-May-12,293.79,295.65,291.47,293.82,-
29-May-12,297.61,299.27,293.87,296.87,-
25-May-12,300.20,300.56,293.85,295.47,-
24-May-12,304.28,305.65,299.14,301.53,-
23-May-12,300.52,304.50,298.26,304.43,-
22-May-12,306.41,306.60,297.70,300.10,-
21-May-12,299.96,307.54,299.70,306.75,-
18-May-12,312.24,315.89,298.05,299.90,-
17-May-12,316.60,318.61,310.30,311.21,-
16-May-12,308.67,314.73,307.66,314.15,-
15-May-12,302.37,307.19,301.57,305.25,-
14-May-12,300.09,303.95,299.99,301.70,-
11-May-12,304.87,306.97,302.08,302.31,-
10-May-12,306.17,307.79,304.81,306.52,-
9-May-12,303.11,307.88,300.60,304.27,-
8-May-12,302.46,308.14,300.05,306.09,-
7-May-12,297.20,304.98,297.20,303.47,-
4-May-12,302.66,303.64,298.11,298.19,-
3-May-12,304.51,307.11,304.17,305.20,-
2-May-12,300.30,303.75,300.00,303.33,-
1-May-12,301.59,305.49,299.79,301.91,-
30-Apr-12,306.19,307.73,300.00,302.12,-
27-Apr-12,307.20,308.06,304.99,307.18,-
26-Apr-12,305.15,308.69,304.55,307.43,-
25-Apr-12,301.70,305.37,301.14,304.56,-
24-Apr-12,298.82,303.01,298.36,300.33,-
23-Apr-12,296.15,298.93,294.80,298.50,-
20-Apr-12,301.82,304.12,297.62,297.73,-
19-Apr-12,302.54,307.82,299.20,299.35,-
18-Apr-12,303.72,306.09,301.10,303.42,-
17-Apr-12,303.98,308.54,303.20,304.48,-
16-Apr-12,311.19,311.59,300.53,302.73,-
13-Apr-12,323.45,324.17,311.46,311.99,-
12-Apr-12,320.85,326.24,319.81,325.18,-
11-Apr-12,316.67,317.68,315.33,317.66,-
10-Apr-12,316.44,316.93,311.96,313.12,-
9-Apr-12,313.93,317.35,312.33,315.10,-
5-Apr-12,315.80,317.90,313.97,315.84,-
4-Apr-12,318.91,319.18,315.23,317.26,-
3-Apr-12,322.38,323.65,319.00,320.99,-
2-Apr-12,320.06,323.43,317.10,323.14,-
30-Mar-12,325.55,326.42,320.18,320.30,-
29-Mar-12,326.39,327.97,321.83,323.88,-
28-Mar-12,325.69,328.96,325.21,327.55,-
27-Mar-12,323.19,326.42,322.08,323.19,-
26-Mar-12,322.18,324.42,319.45,324.34,-
23-Mar-12,322.98,323.93,320.13,320.97,-
22-Mar-12,318.93,324.08,315.18,322.70,-
21-Mar-12,316.99,323.37,315.94,319.67,-
20-Mar-12,315.14,317.71,313.32,316.43,-
19-Mar-12,311.25,318.32,310.31,316.67,-
16-Mar-12,310.14,312.64,309.72,312.21,-
15-Mar-12,307.99,311.44,307.11,310.25,-
14-Mar-12,307.19,311.08,306.42,307.69,-
13-Mar-12,304.07,308.62,302.47,308.58,-
12-Mar-12,299.70,303.20,299.33,302.27,-
9-Mar-12,303.67,305.64,299.70,299.82,-
8-Mar-12,304.71,305.44,302.87,303.27,-
7-Mar-12,304.22,305.29,302.63,303.10,-
6-Mar-12,303.72,304.10,296.62,302.18,-
5-Mar-12,309.90,310.93,305.38,306.82,-
2-Mar-12,310.69,311.69,309.85,310.31,-
1-Mar-12,310.82,312.54,308.77,310.89,-
29-Feb-12,308.99,312.49,307.44,308.82,-
28-Feb-12,304.70,309.58,303.54,308.89,-
27-Feb-12,302.99,305.87,302.23,304.35,-
24-Feb-12,303.37,305.52,302.45,304.65,-
23-Feb-12,303.20,303.67,299.87,302.75,-
22-Feb-12,305.67,308.08,303.05,303.67,-
21-Feb-12,301.63,308.63,301.14,306.69,-
17-Feb-12,302.18,303.51,300.90,302.02,-
16-Feb-12,301.11,304.10,298.57,302.96,-
15-Feb-12,306.16,306.16,300.98,302.48,-
14-Feb-12,305.46,305.69,302.08,304.58,-
13-Feb-12,304.94,306.61,304.70,305.79,-
10-Feb-12,303.64,303.76,301.70,302.65,-
9-Feb-12,305.70,306.94,304.20,305.42,-
8-Feb-12,304.02,305.37,302.07,304.62,-
7-Feb-12,303.27,304.39,301.58,303.08,-
6-Feb-12,297.21,305.11,296.71,304.24,-
3-Feb-12,295.03,298.24,293.73,297.87,-
2-Feb-12,292.14,292.91,290.75,292.26,-
1-Feb-12,292.18,292.46,289.28,290.12,-
31-Jan-12,291.21,291.71,287.29,289.76,-
30-Jan-12,288.74,289.71,286.41,288.56,-
27-Jan-12,285.10,289.87,284.38,289.70,-
26-Jan-12,285.70,286.95,281.99,283.77,-
25-Jan-12,288.47,289.07,282.91,284.46,-
24-Jan-12,292.87,293.55,288.71,290.17,-
23-Jan-12,292.71,294.04,291.29,292.47,-
20-Jan-12,294.97,295.20,290.56,292.70,-
19-Jan-12,320.17,320.17,315.41,319.47,-
18-Jan-12,313.00,316.68,310.75,316.14,-
17-Jan-12,315.67,315.67,312.53,313.98,-
13-Jan-12,312.82,313.16,310.22,312.18,-
12-Jan-12,315.29,316.13,312.94,314.51,-
11-Jan-12,311.44,314.38,310.25,312.67,-
10-Jan-12,314.56,316.58,308.15,311.26,-
9-Jan-12,322.93,323.18,310.30,310.92,-
6-Jan-12,329.25,329.67,324.57,324.68,-
5-Jan-12,330.73,331.65,327.79,329.18,-
4-Jan-12,332.18,334.79,329.98,333.81,-
3-Jan-12,326.14,333.74,325.86,332.37,-
30-Dec-11,320.69,323.06,320.69,322.63,-
29-Dec-11,320.42,321.18,317.28,320.88,-
28-Dec-11,321.05,322.18,318.73,319.53,-
27-Dec-11,315.71,321.92,315.68,319.80,-
23-Dec-11,315.68,317.02,314.96,316.25,-
22-Dec-11,313.66,315.55,313.19,314.54,-
21-Dec-11,314.69,315.59,309.17,312.60,-
20-Dec-11,313.69,315.60,313.68,314.87,-
19-Dec-11,313.69,313.94,309.69,310.60,-
16-Dec-11,311.85,314.35,310.42,312.67,-
15-Dec-11,310.95,311.69,309.04,309.46,-
14-Dec-11,310.61,311.85,305.94,308.73,-
13-Dec-11,314.07,317.96,311.11,312.50,-
12-Dec-11,310.63,312.78,309.83,312.38,-
9-Dec-11,308.69,314.25,308.20,313.40,-
8-Dec-11,310.21,313.41,307.34,307.72,-
7-Dec-11,310.53,312.52,308.74,311.38,-
6-Dec-11,311.18,314.00,309.81,311.57,-
5-Dec-11,313.51,315.63,310.89,312.51,-
2-Dec-11,308.22,311.69,307.82,309.87,-
1-Dec-11,299.70,307.69,299.20,306.58,-
30-Nov-11,298.68,299.46,295.75,299.40,-
29-Nov-11,293.65,294.88,290.37,291.17,-
28-Nov-11,289.40,294.12,287.96,293.80,-
25-Nov-11,282.31,286.85,280.38,281.22,-
23-Nov-11,287.39,289.83,284.77,284.77,-
22-Nov-11,289.71,292.19,287.33,289.71,-
21-Nov-11,293.59,293.96,285.76,290.18,-
18-Nov-11,300.70,301.95,296.58,297.14,-
17-Nov-11,304.72,305.84,298.09,300.13,-
16-Nov-11,305.73,308.84,305.00,305.43,-
15-Nov-11,306.09,308.73,304.94,307.97,-
14-Nov-11,303.70,308.73,303.59,306.19,-
11-Nov-11,300.35,305.74,299.00,303.87,-
10-Nov-11,302.66,302.67,295.48,297.24,-
9-Nov-11,301.83,304.39,299.03,300.17,-
8-Nov-11,304.20,306.88,301.50,305.86,-
7-Nov-11,296.36,304.09,295.82,303.86,-
4-Nov-11,296.45,299.57,295.92,297.77,-
3-Nov-11,293.21,298.45,291.57,298.45,-
2-Nov-11,292.16,293.69,289.95,292.12,-
1-Nov-11,289.76,292.46,288.09,289.04,-
31-Oct-11,297.25,299.55,295.54,296.02,-
28-Oct-11,296.96,300.85,296.83,299.77,-
27-Oct-11,298.91,301.05,296.35,299.04,-
26-Oct-11,294.48,294.79,286.14,292.86,-
25-Oct-11,296.25,297.20,291.13,291.29,-
24-Oct-11,293.07,299.69,292.96,297.91,-
21-Oct-11,294.46,296.08,293.06,294.95,-
20-Oct-11,290.66,294.15,289.47,291.54,-
19-Oct-11,293.38,295.73,289.32,290.06,-
18-Oct-11,289.80,295.98,288.41,294.96,-
17-Oct-11,291.57,295.62,288.71,290.91,-
14-Oct-11,299.44,299.50,293.49,295.54,-
13-Oct-11,274.74,279.22,273.74,279.22,-
12-Oct-11,273.79,277.34,272.04,273.98,-
11-Oct-11,266.46,273.13,266.46,271.32,-
10-Oct-11,262.33,268.47,261.34,268.32,-
7-Oct-11,258.16,259.99,254.89,257.30,-
6-Oct-11,253.50,257.36,251.05,257.10,-
5-Oct-11,247.93,253.65,240.14,252.10,-
4-Oct-11,244.77,251.47,240.06,250.70,-
3-Oct-11,254.67,255.74,247.25,247.51,-
30-Sep-11,259.84,261.74,256.93,257.26,-
29-Sep-11,267.75,268.38,259.45,263.49,-
28-Sep-11,270.48,271.74,263.59,264.16,-
27-Sep-11,268.83,273.25,267.76,269.40,-
26-Sep-11,263.36,266.20,256.37,265.68,-
23-Sep-11,258.02,262.95,256.99,262.49,-
22-Sep-11,262.86,264.12,256.74,260.07,-
21-Sep-11,273.57,277.22,269.16,269.33,-
20-Sep-11,274.42,278.98,271.06,273.04,-
19-Sep-11,269.90,274.68,267.42,273.06,-
16-Sep-11,272.13,273.15,271.30,273.07,-
15-Sep-11,267.48,272.22,267.01,271.01,-
14-Sep-11,266.03,268.21,262.65,265.77,-
13-Sep-11,265.73,266.67,261.44,264.50,-
12-Sep-11,258.72,265.73,258.49,264.79,-
9-Sep-11,265.43,267.06,260.33,262.16,-
8-Sep-11,266.63,269.28,265.68,267.21,-
7-Sep-11,264.96,267.70,263.44,266.75,-
6-Sep-11,255.14,261.12,254.99,260.83,-
2-Sep-11,261.97,263.70,260.10,262.16,-
1-Sep-11,270.10,271.64,265.34,265.98,-
31-Aug-11,272.10,272.88,267.73,270.21,-
30-Aug-11,268.83,271.22,265.14,270.08,-
29-Aug-11,267.01,269.46,266.51,269.27,-
26-Aug-11,259.74,264.96,256.31,263.17,-
25-Aug-11,264.92,268.37,258.89,259.76,-
24-Aug-11,259.41,264.74,258.36,261.38,-
23-Aug-11,251.50,260.44,249.28,259.15,-
22-Aug-11,251.75,253.25,247.02,248.84,-
19-Aug-11,249.42,257.18,245.18,245.21,-
18-Aug-11,261.47,262.18,249.99,252.19,-
17-Aug-11,269.74,271.57,265.12,266.31,-
16-Aug-11,275.94,275.94,264.88,269.23,-
15-Aug-11,276.44,282.21,272.75,278.34,-
12-Aug-11,284.47,284.96,279.92,281.60,-
11-Aug-11,276.63,283.97,273.93,280.78,-
10-Aug-11,280.41,281.78,273.59,274.23,-
9-Aug-11,280.22,287.02,270.23,286.42,-
8-Aug-11,281.21,284.22,271.90,272.74,-
5-Aug-11,290.98,294.70,280.72,289.23,-
4-Aug-11,296.95,299.13,288.45,288.47,-
3-Aug-11,296.74,301.20,291.52,300.28,-
2-Aug-11,302.70,299.11,291.52,296.77,-
1-Aug-11,305.30,307.44,299.29,303.08,-
29-Jul-11,301.81,307.17,301.54,301.54,-
28-Jul-11,302.29,307.68,301.20,305.16,-
27-Jul-11,308.28,310.16,302.07,303.31,-
26-Jul-11,308.72,313.44,308.30,310.95,-
25-Jul-11,306.37,312.39,306.19,309.18,-
22-Jul-11,302.39,309.44,301.83,308.81,-
21-Jul-11,296.72,303.73,296.71,303.19,-
20-Jul-11,300.79,301.11,297.38,297.38,-
19-Jul-11,297.77,302.04,297.47,300.97,-
18-Jul-11,295.95,300.72,295.70,297.17,-
15-Jul-11,298.45,299.82,293.79,298.51,-
14-Jul-11,269.29,270.73,263.10,264.21,-
13-Jul-11,268.23,271.73,267.97,268.86,-
12-Jul-11,263.82,269.44,262.74,266.74,-
11-Jul-11,263.83,267.72,262.49,263.38,-
8-Jul-11,266.21,268.56,263.37,265.73,-
7-Jul-11,270.23,275.06,267.67,273.03,-
6-Jul-11,266.48,268.99,266.25,267.41,-
5-Jul-11,262.39,267.43,262.39,265.95,-
1-Jul-11,253.12,260.33,252.94,260.25,-
30-Jun-11,250.74,253.08,250.50,252.94,-
29-Jun-11,248.02,249.87,245.94,248.54,-
28-Jun-11,241.77,247.86,241.77,246.58,-
27-Jun-11,236.80,244.00,236.60,241.20,-
24-Jun-11,240.10,240.13,236.27,237.20,-
23-Jun-11,240.82,241.19,236.63,239.87,-
22-Jun-11,245.48,245.93,243.12,243.26,-
21-Jun-11,243.35,246.72,242.12,246.25,-
20-Jun-11,242.26,242.87,239.38,242.05,-
17-Jun-11,252.84,253.09,242.16,242.27,-
16-Jun-11,251.15,253.81,248.09,249.93,-
15-Jun-11,252.26,253.92,250.05,251.22,-
14-Jun-11,253.82,256.78,253.24,253.93,-
13-Jun-11,254.74,254.84,250.83,252.11,-
10-Jun-11,256.78,258.09,254.39,254.50,-
9-Jun-11,259.74,259.74,257.56,258.11,-
8-Jun-11,258.01,260.36,257.63,259.33,-
7-Jun-11,261.18,262.05,259.24,259.26,-
6-Jun-11,262.66,263.15,259.37,260.27,-
3-Jun-11,260.74,263.54,260.49,261.28,-
2-Jun-11,263.52,264.88,260.98,263.77,-
1-Jun-11,263.76,266.33,262.39,262.54,-
31-May-11,262.24,264.26,261.49,264.25,-
27-May-11,258.98,260.63,257.89,260.19,-
26-May-11,258.59,260.80,257.24,258.81,-
25-May-11,258.41,261.12,258.37,259.58,-
